rank,combo_size,factors_key,label,ret5,ann5,sharpe5,mdd5,win5,trades5,ret1,ret3,ret10,ret20
1,3,margin+ranking_momentum+buyback,融资融券+排名动量+回购,7.953450318000001,4.125875002791198,3.7616794264902578,0.1924987344014098,0.6234939759036144,332,6.206704726000001,8.531481356,6.382904328,2.8003715840000005
2,4,margin+ranking_momentum+buyback+insider_buy,融资融券+排名动量+回购+高管增持,7.953450318000001,4.1012228989001,3.7556966149037274,0.1924987344014098,0.6234939759036144,332,6.206704726000001,8.531481356,6.382904328,2.8003715840000005
3,4,margin+ranking_momentum+buyback+performance,融资融券+排名动量+回购+业绩,6.980179892,3.6829842945158857,3.4707729917069865,0.18800264820193632,0.6054216867469879,332,6.294676752,6.4253137,4.656645278,2.3758123340000004
4,5,margin+ranking_momentum+buyback+insider_buy+performance,融资融券+排名动量+回购+高管增持+业绩,6.980179892,3.6829842945158857,3.4707729917069865,0.18800264820193632,0.6054216867469879,332,6.294676752,6.4253137,4.656645278,2.3758123340000004
5,3,profit_forecast+buyback+performance,盈利预测+回购+业绩,5.269138256000001,2.929777674739295,2.389684831316611,0.4616089709502553,0.5873493975903614,332,5.551904652,4.9217724700000005,5.826682948,3.5456969619999996
6,3,margin+buyback+insider_buy,融资融券+回购+高管增持,4.7021474560000005,2.661623044745767,2.5914100941363283,0.27041380402648846,0.608433734939759,332,4.769277036,4.919312112,3.595262562,2.237028008
7,3,institution_hold+buyback+performance,机构持股+回购+业绩,4.443646662,2.537135217947568,2.6629659318693184,0.23507616148855734,0.6445783132530121,332,5.1585895420000005,4.458246325999999,3.10564767,3.7605192240000003
8,4,institution_hold+buyback+insider_buy+performance,机构持股+回购+高管增持+业绩,4.443646662,2.5239782631424164,2.6588200789088496,0.23507616148855734,0.6445783132530121,332,5.1585895420000005,4.458246325999999,3.10564767,3.7605192240000003
9,3,institution_hold+buyback+insider_buy,机构持股+回购+高管增持,4.392274098,2.5122179755218044,2.4355327480445133,0.2100009800519873,0.6174698795180723,332,2.94685935,3.987097888,4.91541173,4.990022294
10,3,margin+ranking_momentum+insider_buy,融资融券+排名动量+高管增持,4.3164620320000004,2.475336153924698,2.96093063483879,0.26180482683075273,0.5963855421686747,332,8.730447868,5.071915772,3.969155618,2.5604572520000004
11,3,margin+buyback+performance,融资融券+回购+业绩,3.737857778,2.1892485725873,2.317669666054964,0.23685434202059716,0.5813253012048193,332,3.576224226,3.5180111960000002,3.1245516479999997,2.6482494259999996
12,4,margin+buyback+insider_buy+performance,融资融券+回购+高管增持+业绩,3.737857778,2.1783561723232436,2.3140789363866148,0.23685434202059716,0.5813253012048193,332,3.576224226,3.5180111960000002,3.1245516479999997,2.6482494259999996
13,4,profit_forecast+margin+institution_hold+performance,盈利预测+融资融券+机构持股+业绩,3.6663886100000003,2.153311156574009,2.2310910895432627,0.3073455740778944,0.5963855421686747,332,2.799950294,3.47438485,2.872053578,3.000842414
14,5,profit_forecast+margin+institution_hold+insider_buy+performance,盈利预测+融资融券+机构持股+高管增持+业绩,3.6663886100000003,2.1426465474511978,2.227639986930029,0.3073455740778944,0.5963855421686747,332,2.799950294,3.47438485,2.872053578,3.000842414
15,4,profit_forecast+margin+ranking_momentum+buyback,盈利预测+融资融券+排名动量+回购,3.418720528,2.027670845244007,2.510451885068823,0.22959549967026627,0.5602409638554217,332,2.8669617,3.629825832,3.8321478439999996,3.966939586
16,5,profit_forecast+margin+ranking_momentum+buyback+insider_buy,盈利预测+融资融券+排名动量+回购+高管增持,3.418720528,2.0177930864682745,2.5065393805743383,0.22959549967026627,0.5602409638554217,332,2.8669617,3.629825832,3.8321478439999996,3.966939586
17,3,profit_forecast+ranking_momentum+buyback,盈利预测+排名动量+回购,3.089238084,1.857705089481954,3.6809339558031193,0.12722484995246222,0.5512048192771084,332,3.605580136,2.639339222,2.388973686,2.188282242
18,5,profit_forecast+margin+institution_hold+buyback+performance,盈利预测+融资融券+机构持股+回购+业绩,2.9918948979999995,1.798299513454391,1.993044873845484,0.3073455740778944,0.5843373493975904,332,2.26190415,2.587687288,3.2670977299999997,3.434353694
19,3,profit_forecast+margin+institution_hold,盈利预测+融资融券+机构持股,2.8651242979999996,1.7401027190318819,1.9529857498089174,0.3073455740778944,0.5813253012048193,332,3.11887055,2.709171088,3.2624983299999997,3.504372894
20,4,profit_forecast+margin+institution_hold+insider_buy,盈利预测+融资融券+机构持股+高管增持,2.8651242979999996,1.7401027190318819,1.9529857498089174,0.3073455740778944,0.5813253012048193,332,3.11887055,2.709171088,3.2624983299999997,3.504372894
21,5,profit_forecast+margin+institution_hold+buyback+insider_buy,盈利预测+融资融券+机构持股+回购+高管增持,2.7977436979999997,1.6964838878164463,1.9352320827681726,0.3073455740778944,0.5843373493975904,332,1.85414195,2.415257688,3.3545789299999997,3.4384154939999996
22,4,profit_forecast+margin+institution_hold+buyback,盈利预测+融资融券+机构持股+回购,2.7213520979999997,1.663746404760467,1.9118046589809685,0.3073455740778944,0.5843373493975904,332,1.67089295,2.280823088,3.3077929299999997,3.4152188939999997
23,4,profit_forecast+margin+buyback+performance,盈利预测+融资融券+回购+业绩,2.689758608,1.6468675086382611,1.6974842695290129,0.3838286213484825,0.5843373493975904,332,1.198177328,1.412357216,2.9868527759999997,2.9484039899999996
24,5,profit_forecast+margin+buyback+insider_buy+performance,盈利预测+融资融券+回购+高管增持+业绩,2.689758608,1.639278410369168,1.6948744075005142,0.3838286213484825,0.5843373493975904,332,1.198177328,1.412357216,2.9868527759999997,2.9484039899999996
25,5,profit_forecast+margin+institution_hold+ranking_momentum+performance,盈利预测+融资融券+机构持股+排名动量+业绩,2.6666184299999998,1.6269642426354083,2.4871273712327424,0.20657695171752058,0.5271084337349398,332,0.7673136940000002,1.54342729,2.7084650960000003,2.8124302219999997
26,5,profit_forecast+margin+ranking_momentum+buyback+performance,盈利预测+融资融券+排名动量+回购+业绩,2.6204664020000004,1.6023444334362527,2.2501446535038796,0.27709301272268827,0.5662650602409639,332,2.244388372,2.296965502,3.29242239,2.768644086
27,3,profit_forecast+buyback+insider_buy,盈利预测+回购+高管增持,2.555970844,1.5749782370407468,2.315653363370738,0.24802247196068006,0.6054216867469879,332,2.295773654,2.4499398299999995,2.7783489880000003,2.7185827799999998
28,3,institution_hold+insider_buy+performance,机构持股+高管增持+业绩,2.525113718,1.558300558194135,2.0284280957286365,0.23507616148855734,0.6144578313253012,332,2.3994697460000003,2.6904783479999996,2.2205496239999998,2.11029974
29,3,buyback+insider_buy+performance,回购+高管增持+业绩,2.5203268640000003,1.5557100348008763,2.4569054963712764,0.2297550906094901,0.5843373493975904,332,1.308791622,1.976271854,3.410599594,3.18169211
30,3,profit_forecast+insider_buy+performance,盈利预测+高管增持+业绩,2.419427114,1.5008946519709085,1.6797257202966789,0.5725641409322167,0.6054216867469879,332,2.7656481079999997,2.5142805079999997,1.9343794140000001,1.3737133460000002
